Real_Hs,Predicted_Hs
0.33333334,0.30212113
0.36666667,0.3119196
0.4,0.2992437
0.33333334,0.25128463
0.26666668,0.19132935
0.2,0.1560457
0.2,0.15206558
0.2,0.18825664
0.2,0.24318577
0.2,0.27779758
0.2,0.28466564
0.2,0.2906301
0.2,0.29260635
0.2,0.29619646
0.2,0.2928747
0.2,0.27948967
0.2,0.25286755
0.2,0.21489328
0.2,0.17986585
0.2,0.16248786
0.2,0.1534991
0.2,0.16814718
0.2,0.1853511
0.2,0.19759013
0.2,0.20307176
0.2,0.22251247
0.2,0.25178662
0.2,0.2909197
0.2,0.33333156
0.2,0.37194467
0.23333332,0.42664105
0.26666668,0.48008937
0.3,0.53907126
0.4,0.5730054
0.5,0.63533133
0.6,0.69950426
0.8,0.768883
1.0,0.86420375
1.2,0.96196
1.2333333,1.0306916
1.2666667,1.077625
1.3,1.0916677
1.3333334,1.1164352
1.3666667,1.1656132
1.4,1.2097454
1.3666667,1.2469612
1.3333334,1.2915068
1.3,1.3150345
1.3666667,1.3570993
1.4333333,1.4155266
1.5,1.4069829
1.5333333,1.3854297
1.5666667,1.3901398
1.6,1.4154308
1.5333333,1.4444549
1.4666667,1.4870253
1.4,1.5340943
1.4666667,1.5791283
1.5333333,1.6290003
1.6,1.6426759
1.5333333,1.6432269
1.4666667,1.6705409
1.4,1.67
1.3333334,1.6445757
1.2666667,1.6094934
1.2,1.5877787
1.2,1.5689261
1.2,1.5414395
1.2,1.4816791
1.2666667,1.4306579
1.3333334,1.4152282
1.4,1.4372237
1.4,1.4533076
1.4,1.4863355
1.4,1.4154506
1.3,1.3281283
1.2,1.2343557
1.1,1.1495225
1.0666667,1.1138997
1.0333333,1.1027359
1.0,1.0893891
0.9666666,1.0863563
0.9333333,1.0834144
0.9,1.0799699
0.9,1.0762866
0.9,1.1020467
0.9,1.1009269
0.9333333,1.1147915
0.9666666,1.1274289
1.0,1.1337522
1.0,1.1588209
1.0,1.1876804
1.0,1.1840125
1.0,1.199778
1.0,1.2114805
1.0,1.2531313
1.0,1.2749294
1.0,1.3075795
1.0,1.2536721
0.9666666,1.176516
0.9333333,1.0953394
0.9,1.0140607
0.8666667,0.9575188
0.8333333,0.90026957
0.8,0.8399812
0.76666665,0.79736066
0.73333335,0.7510406
0.7,0.71513194
0.6333333,0.6765467
0.56666666,0.6670327
0.5,0.63601124
0.46666664,0.62228405
0.43333334,0.59325784
0.4,0.56485444
0.46666664,0.55485195
0.53333336,0.5702264
0.6,0.59203595
0.6333333,0.6291183
0.6666667,0.63770413
0.7,0.6601275
0.7,0.68181413
0.7,0.7090983
0.7,0.72611845
0.6666667,0.7394036
0.6333333,0.72909874
0.6,0.68919635
0.53333336,0.6334163
0.46666664,0.5754971
0.4,0.5254208
0.4,0.47236958
0.4,0.4205266
0.4,0.43241784
0.36666667,0.45523286
0.33333334,0.50585663
0.3,0.4986445
0.3,0.47895834
0.3,0.45330068
0.3,0.4365069
0.3,0.40805644
0.3,0.3636739
0.3,0.31910357
0.3,0.30274093
0.3,0.28256828
0.3,0.25827035
0.3,0.25384355
0.3,0.23386239
0.3,0.21907985
0.26666668,0.2120778
0.23333332,0.2100997
0.2,0.19247952
0.2,0.17605647
0.2,0.17616962
0.2,0.1787609
0.2,0.2073178
0.2,0.20537218
0.2,0.20936853
0.2,0.23199542
0.2,0.26593935
0.2,0.280264
0.16666667,0.28515986
0.13333334,0.26386723
0.1,0.2356377
0.1,0.22240202
0.1,0.21430437
0.1,0.19061805
0.13333334,0.19167693
0.16666667,0.16574699
0.2,0.14091735
0.2,0.13602915
0.2,0.122815
0.2,0.11774633
0.2,0.113300405
0.2,0.12412329
0.2,0.13137557
0.23333332,0.15729545
0.26666668,0.18069936
0.3,0.21407226
1.0,1.0192103
1.1,1.0029948
1.2,1.0395502
1.3,1.1058669
1.4,1.1891226
1.5,1.281246
1.6333333,1.3727424
1.7666665,1.4552463
